Name,Date,Value
DowJones,2019-08-27,25777.9
DowJones,2019-08-28,26036.1
DowJones,2019-08-29,26362.25
DowJones,2019-08-30,26403.28
DowJones,2019-09-03,26118.02
DowJones,2019-09-04,26355.47
DowJones,2019-09-05,26728.15
DowJones,2019-09-06,26797.46
DowJones,2019-09-09,26835.51
DowJones,2019-09-10,26909.43
DowJones,2019-09-11,27137.04
DowJones,2019-09-12,27182.45
DowJones,2019-09-13,27219.52
DowJones,2019-09-16,27076.82
DowJones,2019-09-17,27110.8
DowJones,2019-09-18,27147.08
DowJones,2019-09-19,27094.79
DowJones,2019-09-20,26935.07
DowJones,2019-09-23,26949.99
DowJones,2019-09-24,26807.77
DowJones,2019-09-25,26970.71
DowJones,2019-09-26,26891.12
DowJones,2019-09-27,26820.25
DowJones,2019-09-30,26916.83
DowJones,2019-10-01,26573.04
DowJones,2019-10-02,26078.62
DowJones,2019-10-03,26201.04
DowJones,2019-10-04,26573.72
DowJones,2019-10-07,26478.02
DowJones,2019-10-08,26164.04
DowJones,2019-10-09,26346.01
DowJones,2019-10-10,26496.67
DowJones,2019-10-11,26816.59
DowJones,2019-10-14,26787.36
DowJones,2019-10-15,27024.8
DowJones,2019-10-16,27001.98
DowJones,2019-10-17,27025.88
DowJones,2019-10-18,26770.2
DowJones,2019-10-21,26827.64
DowJones,2019-10-22,26788.1
DowJones,2019-10-23,26833.95
DowJones,2019-10-24,26805.53
DowJones,2019-10-25,26958.06
DowJones,2019-10-28,27090.72
DowJones,2019-10-29,27071.46
DowJones,2019-10-30,27186.69
DowJones,2019-10-31,27046.23
DowJones,2019-11-01,27347.36
DowJones,2019-11-04,27462.11
DowJones,2019-11-05,27492.63
DowJones,2019-11-06,27492.56
DowJones,2019-11-07,27674.8
DowJones,2019-11-08,27681.24
DowJones,2019-11-11,27691.49
DowJones,2019-11-12,27691.49
DowJones,2019-11-13,27783.59
DowJones,2019-11-14,27781.96
DowJones,2019-11-15,28004.89
DowJones,2019-11-18,28036.22
DowJones,2019-11-19,27934.02
DowJones,2019-11-20,27821.09
DowJones,2019-11-21,27766.29
DowJones,2019-11-22,27875.62
DowJones,2019-11-25,28066.47
DowJones,2019-11-26,28121.68
DowJones,2019-11-27,28164.0
DowJones,2019-11-29,28051.41
DowJones,2019-12-02,27783.04
DowJones,2019-12-03,27502.81
DowJones,2019-12-04,27649.78
DowJones,2019-12-05,27677.79
DowJones,2019-12-06,28015.06
DowJones,2019-12-09,27909.6
DowJones,2019-12-10,27881.72
DowJones,2019-12-11,27911.3
DowJones,2019-12-12,28132.05
DowJones,2019-12-13,28135.38
DowJones,2019-12-16,28235.89
DowJones,2019-12-17,28267.16
DowJones,2019-12-18,28239.28
DowJones,2019-12-19,28376.96
DowJones,2019-12-20,28455.09
DowJones,2019-12-23,28551.53
DowJones,2019-12-24,28515.45
DowJones,2019-12-26,28621.39
DowJones,2019-12-27,28645.26
DowJones,2019-12-30,28462.14
DowJones,2019-12-31,28538.44
DowJones,2020-01-02,28868.8
DowJones,2020-01-03,28634.88
DowJones,2020-01-06,28703.38
DowJones,2020-01-07,28583.68
DowJones,2020-01-08,28745.09
DowJones,2020-01-09,28956.9
DowJones,2020-01-10,28823.77
DowJones,2020-01-13,28907.05
DowJones,2020-01-14,28939.67
DowJones,2020-01-15,29030.22
DowJones,2020-01-16,29297.64
DowJones,2020-01-17,29348.1
DowJones,2020-01-21,29196.04
DowJones,2020-01-22,29186.27
DowJones,2020-01-23,29160.09
DowJones,2020-01-24,28989.73
DowJones,2020-01-27,28535.8
DowJones,2020-01-28,28722.85
DowJones,2020-01-29,28734.45
DowJones,2020-01-30,28859.44
DowJones,2020-01-31,28256.03
DowJones,2020-02-03,28399.81
DowJones,2020-02-04,28807.63
DowJones,2020-02-05,29290.85
DowJones,2020-02-06,29379.77
DowJones,2020-02-07,29102.51
DowJones,2020-02-10,29276.82
DowJones,2020-02-11,29276.34
DowJones,2020-02-12,29551.42
DowJones,2020-02-13,29423.31
DowJones,2020-02-14,29398.08
DowJones,2020-02-18,29232.19
